candidate_id,source_path,x,y,z,t,frame_index,line_id,line_index,dataset_path,laser_power_W,scan_speed_mm_s,spot_size_um,grid_point_count,unique_row_count,unique_col_count,grid_cell_count,coverage_fraction,target_frame_mean,target_frame_q90,target_frame_std,target_frame_range
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,0.000000,0.000000,0.000000,0.000000,0.000000,single_line,0.000000,,285.000000,960.000000,67.000000,1032,319,4,1276,0.808777,1076.546410,1087.166550,7.823639,40.526505
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,5.000000,0.000000,0.000000,0.000167,5.000000,single_line,0.000000,,285.000000,960.000000,67.000000,881,48,35,1680,0.524405,1188.603380,1378.104227,110.474574,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,10.000000,0.000000,0.000000,0.000333,10.000000,single_line,0.000000,,285.000000,960.000000,67.000000,930,64,33,2112,0.440341,1165.556742,1322.420479,103.093233,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,15.000000,0.000000,0.000000,0.000500,15.000000,single_line,0.000000,,285.000000,960.000000,67.000000,805,68,34,2312,0.348183,1155.122341,1288.048615,101.500636,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,20.000000,0.000000,0.000000,0.000667,20.000000,single_line,0.000000,,285.000000,960.000000,67.000000,548,40,23,920,0.595652,1176.134445,1448.674532,115.183781,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,25.000000,0.000000,0.000000,0.000833,25.000000,single_line,0.000000,,285.000000,960.000000,67.000000,545,43,22,946,0.576110,1176.842878,1450.559463,119.215193,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,30.000000,0.000000,0.000000,0.001000,30.000000,single_line,0.000000,,285.000000,960.000000,67.000000,630,47,24,1128,0.558511,1182.781847,1405.470271,114.637471,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,35.000000,0.000000,0.000000,0.001167,35.000000,single_line,0.000000,,285.000000,960.000000,67.000000,516,40,24,960,0.537500,1189.476751,1449.235113,122.342467,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,40.000000,0.000000,0.000000,0.001333,40.000000,single_line,0.000000,,285.000000,960.000000,67.000000,596,40,22,880,0.677273,1191.821261,1412.757059,114.253293,385.554586
ambench_line0_1_dense_a800_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_dense_a100_sxm4_40gb_v1.csv,45.000000,0.000000,0.000000,0.001500,45.000000,single_line,0.000000,,285.000000,960.000000,67.000000,572,43,22,946,0.604651,1187.006980,1404.292304,115.847596,385.554586
