candidate_id,source_path,x,y,z,t,frame_index,line_id,line_index,dataset_path,laser_power_W,scan_speed_mm_s,spot_size_um,grid_point_count,unique_row_count,unique_col_count,grid_cell_count,coverage_fraction,target_frame_mean,target_frame_q90,target_frame_std,target_frame_range
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,0.000000,0.000000,0.000000,0.000000,0.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,506,159,4,636,0.795597,1076.144691,1086.568154,7.487728,40.526505
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,10.000000,0.000000,0.000000,0.000333,10.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,462,32,33,1056,0.437500,1167.521081,1334.089255,104.803863,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,20.000000,0.000000,0.000000,0.000667,20.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,272,20,22,440,0.618182,1176.572375,1448.674532,115.099497,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,30.000000,0.000000,0.000000,0.001000,30.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,310,23,22,506,0.612648,1184.673316,1411.629772,114.884297,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,40.000000,0.000000,0.000000,0.001333,40.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,295,20,21,420,0.702381,1192.977847,1412.757059,114.426689,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,50.000000,0.000000,0.000000,0.001667,50.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,263,22,21,462,0.569264,1189.038367,1417.191956,119.310347,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,60.000000,0.000000,0.000000,0.002000,60.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,270,26,18,468,0.576923,1188.640400,1396.422735,113.054125,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,70.000000,0.000000,0.000000,0.002333,70.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,298,29,18,522,0.570881,1178.712106,1374.096588,110.962015,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,80.000000,0.000000,0.000000,0.002667,80.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,334,28,21,588,0.568027,1170.985371,1352.216565,110.344418,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,90.000000,0.000000,0.000000,0.003000,90.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,301,28,18,504,0.597222,1179.950213,1375.679333,111.405406,385.554586
ambench_line0_1_phase51_dense_csv,data/interim/ambench/2022_single_track/AMB2022-03/line_0_1_temperature_phase51_dense.csv,100.000000,0.000000,0.000000,0.003333,100.000000,Line_0_1,0.000000,ThermalData/Line_0_1/Signal,285.000000,960.000000,67.000000,305,26,21,546,0.558608,1178.163521,1357.253528,109.964296,385.554586
